ImageNo	 ImArea	 ImFrac	 StainArea	 StainInt	 StAreaFrac	  StainThreshold
R10C10__01.tif	 945270	 0.39703	 228192	 227.047	 0.2414	 0.46275
R10C11__01.tif	 1018284	 0.4277	 8100	 151.1132	 0.0079546	 0.35
R10C12__01.tif	 969004	 0.407	 413	 145.6925	 0.00042621	 0.35
R10C13__01.tif	 995469	 0.41812	 627	 144.1563	 0.00062985	 0.35
R10C1__01.tif	 1039466	 0.43659	 221078	 189.1925	 0.21268	 0.39216
R10C2__01.tif	 1054097	 0.44274	 240120	 170.2803	 0.2278	 0.35294
R10C3__01.tif	 615961	 0.25871	 133337	 177.1682	 0.21647	 0.35686
R10C4__01.tif	 1372902	 0.57664	 343812	 172.213	 0.25043	 0.37255
R10C5__01.tif	 1165178	 0.4894	 219765	 185.7174	 0.18861	 0.38431
R10C6__01.tif	 923309	 0.38781	 47887	 163.323	 0.051865	 0.35
R10C7__01.tif	 1597697	 0.67106	 7	 125.1429	 4.3813e-06	 0.35
R10C8__01.tif	 898643	 0.37745	 94974	 220.4062	 0.10569	 0.44314
R10C9__01.tif	 780137	 0.32767	 120044	 210.2521	 0.15388	 0.42353
R11C10__01.tif	 676158	 0.284	 7474	 164.2982	 0.011054	 0.35
R11C11__01.tif	 684673	 0.28758	 134708	 205.3654	 0.19675	 0.41569
R11C12__01.tif	 1014885	 0.42627	 175251	 206.2949	 0.17268	 0.42353
R11C13__01.tif	 1105994	 0.46454	 53678	 197.913	 0.048534	 0.4
R11C1__01.tif	 1283443	 0.53907	 32	 166.4688	 2.4933e-05	 0.35
R11C2__01.tif	 1028074	 0.43181	 206	 185.9417	 0.00020037	 0.35
R11C3__01.tif	 762537	 0.32028	 195	 198.8718	 0.00025573	 0.35
R11C4__01.tif	 1190422	 0.5	 275	 184.6	 0.00023101	 0.35
R11C5__01.tif	 1094618	 0.45976	 500	 191.138	 0.00045678	 0.35
R11C6__01.tif	 1093677	 0.45936	 172	 183.2384	 0.00015727	 0.35
R11C7__01.tif	 1549836	 0.65096	 0	 NaN	 0	 0.35
R11C8__01.tif	 833437	 0.35006	 14721	 144.3048	 0.017663	 0.35
R11C9__01.tif	 928182	 0.38985	 6818	 132.2125	 0.0073455	 0.35
R12C10__01.tif	 779956	 0.3276	 1646	 177.836	 0.0021104	 0.35
R12C11__01.tif	 1135792	 0.47705	 75808	 149.8257	 0.066745	 0.35
R12C12__01.tif	 801416	 0.33661	 24305	 138.1832	 0.030328	 0.35
R12C13__01.tif	 728519	 0.30599	 254	 158.6417	 0.00034865	 0.35
R12C1__01.tif	 693370	 0.29123	 276448	 221.5458	 0.3987	 0.45098
R12C2__01.tif	 798686	 0.33546	 361005	 230.2332	 0.452	 0.46667
R12C3__01.tif	 934425	 0.39248	 376328	 238.501	 0.40274	 0.48235
R12C4__01.tif	 861518	 0.36185	 127193	 193.7093	 0.14764	 0.39216
R12C5__01.tif	 885212	 0.37181	 96783	 206.9136	 0.10933	 0.41569
R12C6__01.tif	 792147	 0.33272	 86960	 203.7927	 0.10978	 0.40784
R12C7__01.tif	 1798461	 0.75539	 80	 108.9625	 4.4482e-05	 0.35
R12C8__01.tif	 858449	 0.36056	 901	 158.0311	 0.0010496	 0.35
R12C9__01.tif	 781479	 0.32824	 4825	 228.4452	 0.0061742	 0.45098
R13C10__01.tif	 320584	 0.13465	 131029	 234.141	 0.40872	 0.46275
R13C11__01.tif	 986190	 0.41422	 199224	 182.7561	 0.20201	 0.37647
R13C12__01.tif	 976857	 0.4103	 173245	 163.0157	 0.17735	 0.35
R13C13__01.tif	 875340	 0.36766	 235818	 159.1473	 0.2694	 0.35
R13C1__01.tif	 1752184	 0.73595	 99	 225.3232	 5.6501e-05	 0.35
R13C2__01.tif	 1555981	 0.65354	 32	 198.0312	 2.0566e-05	 0.35
R13C3__01.tif	 1634132	 0.68637	 346	 194.4277	 0.00021173	 0.35
R13C4__01.tif	 504467	 0.21189	 138243	 225.4897	 0.27404	 0.45098
R13C5__01.tif	 702389	 0.29502	 157699	 217.9323	 0.22452	 0.43922
R13C6__01.tif	 847594	 0.356	 151620	 225.3796	 0.17888	 0.4549
R13C7__01.tif	 1526796	 0.64128	 7	 199.7143	 4.5848e-06	 0.35
R13C8__01.tif	 902101	 0.3789	 293986	 230.9487	 0.32589	 0.47451
R13C9__01.tif	 1122857	 0.47162	 467754	 235.0673	 0.41657	 0.4902
R15C10__01.tif	 1009300	 0.42392	 45510	 152.8758	 0.045091	 0.35
R15C11__01.tif	 310429	 0.13039	 22007	 202.7137	 0.070892	 0.4
R15C12__01.tif	 1050984	 0.44143	 12654	 171.5241	 0.01204	 0.35
R15C13__01.tif	 875898	 0.36789	 100	 129.37	 0.00011417	 0.35
R15C1__01.tif	 1192018	 0.50067	 202357	 228.0285	 0.16976	 0.46667
R15C2__01.tif	 1146144	 0.4814	 35735	 158.1524	 0.031178	 0.35
R15C3__01.tif	 1088864	 0.45734	 39574	 156.3006	 0.036344	 0.35
R15C4__01.tif	 1127332	 0.4735	 250108	 215.9799	 0.22186	 0.45098
R15C5__01.tif	 1086138	 0.4562	 282686	 215.4821	 0.26027	 0.44706
R15C6__01.tif	 1011147	 0.4247	 83495	 190.0366	 0.082575	 0.38431
R15C7__01.tif	 88885	 0.037333	 7112	 176.756	 0.080014	 0.35
R15C8__01.tif	 948497	 0.39839	 123919	 155.374	 0.13065	 0.35
R15C9__01.tif	 947489	 0.39796	 81179	 145.5741	 0.085678	 0.35
R16C10__01.tif	 1492895	 0.62704	 1	 116	 6.6984e-07	 0.35
R16C11__01.tif	 1540567	 0.64707	 9	 113.1111	 5.842e-06	 0.35
R16C12__01.tif	 1442747	 0.60598	 10	 121.3	 6.9312e-06	 0.35
R16C13__01.tif	 950925	 0.39941	 160666	 204.0238	 0.16896	 0.41569
R16C1__01.tif	 1063222	 0.44657	 294179	 217.4676	 0.27669	 0.45098
R16C2__01.tif	 1115887	 0.46869	 170429	 208.569	 0.15273	 0.42745
R16C3__01.tif	 1009243	 0.4239	 182818	 220.5361	 0.18114	 0.44706
R16C4__01.tif	 848728	 0.35648	 237	 143.6371	 0.00027924	 0.35
R16C5__01.tif	 732211	 0.30754	 284	 181.2289	 0.00038787	 0.35
R16C6__01.tif	 819981	 0.34441	 344	 164.4477	 0.00041952	 0.35
R16C7__01.tif	 108675	 0.045645	 117	 178.3333	 0.0010766	 0.35
R16C8__01.tif	 280623	 0.11787	 54132	 228.3922	 0.1929	 0.45098
R16C9__01.tif	 108782	 0.04569	 43032	 233.8153	 0.39558	 0.45882
R17C10__01.tif	 325086	 0.13654	 2860	 206.1465	 0.0087977	 0.40392
R17C11__01.tif	 722341	 0.3034	 67236	 154.5176	 0.093081	 0.35
R17C12__01.tif	 298713	 0.12546	 66804	 175.635	 0.22364	 0.35
R17C13__01.tif	 752689	 0.31614	 56812	 162.1217	 0.075479	 0.35
R17C1__01.tif	 880769	 0.36994	 53014	 139.9891	 0.060191	 0.35
R17C2__01.tif	 978863	 0.41114	 44872	 140.5649	 0.045841	 0.35
R17C3__01.tif	 885349	 0.37186	 95175	 149.5742	 0.1075	 0.35
R17C4__01.tif	 1281450	 0.53823	 421555	 232.6061	 0.32897	 0.47843
R17C5__01.tif	 1197633	 0.50303	 469120	 227.3623	 0.39171	 0.47059
R17C6__01.tif	 143997	 0.060481	 26229	 219.9348	 0.18215	 0.43137
R17C7__01.tif	 1545884	 0.6493	 13	 213.7692	 8.4094e-06	 0.35
R17C8__01.tif	 360962	 0.15161	 19907	 223.1555	 0.05515	 0.43922
R17C9__01.tif	 1092748	 0.45897	 1671	 186.1897	 0.0015292	 0.35
R18C10__01.tif	 461358	 0.19378	 86768	 228.0298	 0.18807	 0.4549
R18C11__01.tif	 532266	 0.22356	 160241	 186.6891	 0.30105	 0.37647
R18C12__01.tif	 659427	 0.27697	 270	 168.2074	 0.00040945	 0.35
R18C13__01.tif	 1100268	 0.46213	 144247	 167.1632	 0.1311	 0.35
R18C1__01.tif	 934754	 0.39261	 113	 218.4159	 0.00012089	 0.35
R18C2__01.tif	 968657	 0.40685	 4051	 146.2414	 0.0041821	 0.35
R18C3__01.tif	 967456	 0.40635	 1488	 125.586	 0.0015381	 0.35
R18C4__01.tif	 1136626	 0.4774	 286639	 156.9138	 0.25218	 0.35
R18C5__01.tif	 1057593	 0.44421	 266014	 165.0653	 0.25153	 0.35
R18C6__01.tif	 1077696	 0.45265	 224002	 215.9607	 0.20785	 0.43922
R18C7__01.tif	 1213811	 0.50982	 380	 175.65	 0.00031306	 0.35
R18C8__01.tif	 1629740	 0.68452	 19	 159.2105	 1.1658e-05	 0.35
R18C9__01.tif	 973823	 0.40902	 141769	 160.2406	 0.14558	 0.35
R19C10__01.tif	 469374	 0.19715	 53425	 149.8165	 0.11382	 0.35
R19C11__01.tif	 1130790	 0.47495	 579	 186.6598	 0.00051203	 0.35
R19C12__01.tif	 1055692	 0.44341	 1115	 186.8915	 0.0010562	 0.35
R19C13__01.tif	 1045483	 0.43912	 644	 177.0668	 0.00061598	 0.35
R19C1__01.tif	 919361	 0.38615	 145067	 212.3178	 0.15779	 0.42745
R19C2__01.tif	 1059039	 0.44482	 68626	 188.4642	 0.0648	 0.38039
R19C3__01.tif	 1041462	 0.43743	 59427	 153.7136	 0.057061	 0.35
R19C4__01.tif	 1055313	 0.44325	 178824	 181.7953	 0.16945	 0.37255
R19C5__01.tif	 1245800	 0.52326	 243820	 222.4184	 0.19571	 0.4549
R19C6__01.tif	 1378049	 0.57881	 67521	 216.2233	 0.048998	 0.43529
R19C7__01.tif	 1543719	 0.64839	 104	 167.9327	 6.737e-05	 0.35
R19C8__01.tif	 1080132	 0.45368	 231828	 213.2466	 0.21463	 0.43922
R19C9__01.tif	 237419	 0.09972	 40109	 166.3024	 0.16894	 0.35
R1C10__01.tif	 1076950	 0.45234	 7265	 122.6919	 0.0067459	 0.35
R1C11__01.tif	 674725	 0.2834	 31177	 147.7107	 0.046207	 0.35
R1C12__01.tif	 1454274	 0.61082	 33460	 144.0133	 0.023008	 0.35
R1C13__01.tif	 1025914	 0.4309	 17757	 135.7496	 0.017308	 0.35
R1C1__01.tif	 834314	 0.35043	 146177	 235.8969	 0.17521	 0.47451
R1C2__01.tif	 942973	 0.39607	 199752	 232.3404	 0.21183	 0.47059
R1C3__01.tif	 811899	 0.34101	 147421	 236.121	 0.18158	 0.47451
R1C4__01.tif	 478036	 0.20078	 112841	 200.2673	 0.23605	 0.4
R1C5__01.tif	 519891	 0.21836	 168232	 212.8028	 0.32359	 0.42745
R1C6__01.tif	 820406	 0.34459	 171622	 204.085	 0.20919	 0.41569
R1C7__01.tif	 29714	 0.01248	 4694	 184.6259	 0.15797	 0.36078
R1C8__01.tif	 783987	 0.32929	 11354	 122.4615	 0.014482	 0.35
R1C9__01.tif	 964197	 0.40498	 14791	 124.3069	 0.01534	 0.35
R20C10__01.tif	 1051789	 0.44177	 32	 130.1875	 3.0424e-05	 0.35
R20C11__01.tif	 1304301	 0.54783	 28	 203.4643	 2.1467e-05	 0.35
R20C12__01.tif	 1349531	 0.56683	 8	 207.875	 5.928e-06	 0.35
R20C13__01.tif	 992207	 0.41675	 21	 204.6667	 2.1165e-05	 0.35
R20C1__01.tif	 850098	 0.35706	 142205	 175.0446	 0.16728	 0.35686
R20C2__01.tif	 1150631	 0.48329	 54397	 154.0012	 0.047276	 0.35
R20C3__01.tif	 1213398	 0.50965	 71917	 163.4114	 0.059269	 0.35
R20C4__01.tif	 1224712	 0.5144	 257742	 191.5505	 0.21045	 0.40392
R20C5__01.tif	 1098885	 0.46155	 267352	 176.3445	 0.24329	 0.36863
R20C6__01.tif	 1194936	 0.50189	 196422	 165.0067	 0.16438	 0.35
R20C7__01.tif	 1188360	 0.49913	 4	 194.5	 3.366e-06	 0.35
R20C8__01.tif	 1102827	 0.46321	 188	 154.7021	 0.00017047	 0.35
R20C9__01.tif	 913971	 0.38388	 6	 175.6667	 6.5648e-06	 0.35
R2C10__01.tif	 290795	 0.12214	 45649	 224.6649	 0.15698	 0.44314
R2C11__01.tif	 1053466	 0.44247	 2265	 129.5249	 0.00215	 0.35
R2C12__01.tif	 752629	 0.31612	 902	 126.1064	 0.0011985	 0.35
R2C13__01.tif	 811102	 0.34068	 1684	 116.6692	 0.0020762	 0.35
R2C1__01.tif	 995760	 0.41824	 204676	 232.597	 0.20555	 0.47059
R2C2__01.tif	 644364	 0.27064	 160037	 236.0228	 0.24836	 0.47059
R2C3__01.tif	 927438	 0.38954	 179014	 236.4568	 0.19302	 0.47451
R2C4__01.tif	 648209	 0.27226	 142927	 218.7029	 0.2205	 0.43922
R2C5__01.tif	 1219617	 0.51226	 300406	 220.1811	 0.24631	 0.46275
R2C6__01.tif	 155865	 0.065466	 28659	 189.1345	 0.18387	 0.37255
R2C7__01.tif	 1728268	 0.7259	 95	 213.6211	 5.4968e-05	 0.35
R2C8__01.tif	 301293	 0.12655	 88433	 231.2517	 0.29351	 0.4549
R2C9__01.tif	 900525	 0.37824	 328274	 231.4994	 0.36454	 0.46667
R3C10__01.tif	 680868	 0.28598	 31600	 133.5648	 0.046411	 0.35
R3C11__01.tif	 834056	 0.35032	 76428	 203.0877	 0.091634	 0.41176
R3C12__01.tif	 294649	 0.12376	 33870	 188.1209	 0.11495	 0.37255
R3C13__01.tif	 836599	 0.35139	 74935	 210.2177	 0.089571	 0.42353
R3C1__01.tif	 702358	 0.295	 104058	 201.6944	 0.14816	 0.40784
R3C2__01.tif	 1225482	 0.51472	 151356	 222.853	 0.12351	 0.4549
R3C3__01.tif	 758481	 0.31858	 71586	 227.0526	 0.094381	 0.4549
R3C4__01.tif	 853599	 0.35853	 105051	 202.4634	 0.12307	 0.40784
R3C5__01.tif	 1402079	 0.5889	 433085	 230.7057	 0.30889	 0.48627
R3C6__01.tif	 1148094	 0.48222	 275551	 220.7821	 0.24001	 0.45882
R3C7__01.tif	 60293	 0.025324	 9649	 198.5927	 0.16004	 0.38824
R3C8__01.tif	 866492	 0.36394	 44759	 131.9046	 0.051655	 0.35
R3C9__01.tif	 1007587	 0.4232	 20748	 119.8373	 0.020592	 0.35
R4C10__01.tif	 468078	 0.1966	 81544	 221.0479	 0.17421	 0.43922
R4C11__01.tif	 1129773	 0.47453	 53189	 138.0659	 0.047079	 0.35
R4C12__01.tif	 874100	 0.36714	 28643	 156.8921	 0.032769	 0.35
R4C13__01.tif	 1178672	 0.49506	 58739	 165.6048	 0.049835	 0.35
R4C1__01.tif	 902428	 0.37904	 2883	 145.2771	 0.0031947	 0.35
R4C2__01.tif	 933622	 0.39214	 1173	 167.2839	 0.0012564	 0.35
R4C3__01.tif	 1014198	 0.42598	 2668	 128.0285	 0.0026307	 0.35
R4C4__01.tif	 964286	 0.40502	 499740	 236.8604	 0.51825	 0.48235
R4C5__01.tif	 321700	 0.13512	 133399	 231.641	 0.41467	 0.45882
R4C6__01.tif	 749100	 0.31464	 161107	 220.842	 0.21507	 0.44706
R4C7__01.tif	 97856	 0.041101	 18446	 214.7056	 0.1885	 0.41961
R4C8__01.tif	 894022	 0.37551	 327882	 233.6912	 0.36675	 0.47451
R4C9__01.tif	 905472	 0.38031	 412777	 233.5941	 0.45587	 0.47843
R5C10__01.tif	 722078	 0.30329	 260430	 233.6506	 0.36067	 0.46667
R5C11__01.tif	 1213865	 0.50985	 400	 208.3075	 0.00032953	 0.35
R5C12__01.tif	 1193024	 0.50109	 325	 205.8615	 0.00027242	 0.35
R5C13__01.tif	 1215806	 0.51066	 471	 168.3864	 0.0003874	 0.35
R5C1__01.tif	 903098	 0.37932	 2092	 199.9278	 0.0023165	 0.35
R5C2__01.tif	 961481	 0.40384	 13623	 228.2586	 0.014169	 0.4549
R5C3__01.tif	 1053958	 0.44268	 38501	 233.5069	 0.03653	 0.46667
R5C4__01.tif	 1093091	 0.45912	 209096	 199.0474	 0.19129	 0.41176
R5C5__01.tif	 1036029	 0.43515	 162659	 177.8131	 0.157	 0.36471
R5C6__01.tif	 1245484	 0.52313	 202564	 197.1995	 0.16264	 0.40784
R5C7__01.tif	 159585	 0.067029	 18857	 157.9354	 0.11816	 0.35
R5C8__01.tif	 549314	 0.23072	 229371	 228.4888	 0.41756	 0.4549
R5C9__01.tif	 1032147	 0.43352	 532658	 234.8146	 0.51607	 0.47843
R6C10__01.tif	 874579	 0.36734	 220549	 218.7623	 0.25218	 0.44706
R6C11__01.tif	 772662	 0.32453	 230767	 233.0325	 0.29866	 0.47059
R6C12__01.tif	 1122389	 0.47142	 23511	 232.9516	 0.020947	 0.46667
R6C13__01.tif	 865933	 0.36371	 207389	 230.889	 0.2395	 0.46667
R6C1__01.tif	 816640	 0.343	 1690	 150.9769	 0.0020695	 0.35
R6C2__01.tif	 723394	 0.30384	 1592	 167.054	 0.0022007	 0.35
R6C3__01.tif	 683790	 0.2872	 20412	 164.5741	 0.029851	 0.35
R6C4__01.tif	 1293818	 0.54343	 87241	 137.1839	 0.067429	 0.35
R6C5__01.tif	 881942	 0.37043	 41776	 161.0474	 0.047368	 0.35
R6C6__01.tif	 746791	 0.31367	 39274	 132.2912	 0.05259	 0.35
R6C7__01.tif	 1677148	 0.70443	 76	 233.0263	 4.5315e-05	 0.35
R6C8__01.tif	 1087364	 0.45671	 256910	 222.3509	 0.23627	 0.45882
R6C9__01.tif	 629752	 0.26451	 144642	 221.1184	 0.22968	 0.44314
R8C10__01.tif	 424375	 0.17825	 60582	 225.5259	 0.14276	 0.44706
