ImageNo	 ImArea	 ImFrac	 StainArea	 StainInt	 StAreaFrac	  StainThreshold
R10C10__01.tif	 882383	 0.37062	 485059	 239.2342	 0.54971	 0.48235
R10C11__01.tif	 1008151	 0.42344	 216483	 159.5694	 0.21473	 0.35
R10C12__01.tif	 977599	 0.41061	 82666	 143.5688	 0.08456	 0.35
R10C13__01.tif	 896585	 0.37658	 189923	 197.75	 0.21183	 0.40784
R10C1__01.tif	 1055386	 0.44328	 386758	 221.9487	 0.36646	 0.46275
R10C2__01.tif	 939269	 0.39451	 335155	 223.45	 0.35683	 0.45882
R10C3__01.tif	 550724	 0.23131	 217073	 226.9467	 0.39416	 0.4549
R10C4__01.tif	 1132543	 0.47569	 937	 172.7193	 0.00082734	 0.35
R10C5__01.tif	 1114415	 0.46807	 1695	 155.741	 0.001521	 0.35
R10C6__01.tif	 470543	 0.19764	 367	 166.8256	 0.00077995	 0.35
R10C7__01.tif	 1552733	 0.65218	 0	 NaN	 0	 0.35
R10C8__01.tif	 878907	 0.36916	 234804	 237.4378	 0.26715	 0.47843
R10C9__01.tif	 768282	 0.32269	 398952	 239.6064	 0.51928	 0.47843
R11C10__01.tif	 541840	 0.22758	 58107	 187.9227	 0.10724	 0.37647
R11C11__01.tif	 651419	 0.27361	 299812	 226.145	 0.46024	 0.4549
R11C12__01.tif	 971936	 0.40823	 260760	 210.5594	 0.26829	 0.43529
R11C13__01.tif	 1090011	 0.45782	 106576	 216.8959	 0.097775	 0.43922
R11C1__01.tif	 1288225	 0.54108	 188	 140.133	 0.00014594	 0.35
R11C2__01.tif	 1052349	 0.44201	 1248	 204.0986	 0.0011859	 0.35
R11C3__01.tif	 764149	 0.32096	 41	 202.8293	 5.3654e-05	 0.35
R11C4__01.tif	 1163598	 0.48873	 643	 180.126	 0.0005526	 0.35
R11C5__01.tif	 1081188	 0.45412	 22590	 160.3024	 0.020894	 0.35
R11C6__01.tif	 1064935	 0.44729	 105054	 149.3453	 0.098648	 0.35
R11C7__01.tif	 1483756	 0.6232	 38	 214.3421	 2.5611e-05	 0.35
R11C8__01.tif	 912847	 0.38341	 141000	 183.2162	 0.15446	 0.37647
R11C9__01.tif	 858935	 0.36077	 71660	 150.0153	 0.083429	 0.35
R12C10__01.tif	 736119	 0.30918	 43760	 229.9772	 0.059447	 0.45882
R12C11__01.tif	 1084911	 0.45568	 161883	 187.0076	 0.14921	 0.38431
R12C12__01.tif	 995366	 0.41807	 99114	 210.2795	 0.099575	 0.42745
R12C13__01.tif	 815641	 0.34258	 9430	 171.7743	 0.011561	 0.35
R12C1__01.tif	 634891	 0.26667	 43342	 143.0042	 0.068267	 0.35
R12C2__01.tif	 769950	 0.32339	 54702	 139.4025	 0.071046	 0.35
R12C3__01.tif	 926972	 0.38935	 45526	 131.7881	 0.049113	 0.35
R12C4__01.tif	 867774	 0.36448	 837	 164.4719	 0.00096454	 0.35
R12C5__01.tif	 841495	 0.35344	 1642	 150.5981	 0.0019513	 0.35
R12C6__01.tif	 782935	 0.32885	 1286	 180.6392	 0.0016425	 0.35
R12C7__01.tif	 1574878	 0.66148	 48	 206.4583	 3.0479e-05	 0.35
R12C8__01.tif	 840734	 0.35312	 13041	 162.7355	 0.015511	 0.35
R12C9__01.tif	 482893	 0.20282	 12293	 165.106	 0.025457	 0.35
R13C10__01.tif	 243573	 0.10231	 95526	 206.5161	 0.39219	 0.40784
R13C11__01.tif	 972566	 0.4085	 4085	 131.3319	 0.0042002	 0.35
R13C12__01.tif	 956783	 0.40187	 3020	 158.0003	 0.0031564	 0.35
R13C13__01.tif	 882374	 0.37061	 729	 125.7284	 0.00082618	 0.35
R13C1__01.tif	 1596704	 0.67064	 755	 135.7272	 0.00047285	 0.35
R13C2__01.tif	 1841520	 0.77347	 311	 238.209	 0.00016888	 0.35
R13C3__01.tif	 1704500	 0.71592	 2340	 206.0167	 0.0013728	 0.41961
R13C4__01.tif	 455202	 0.19119	 61999	 152.2829	 0.1362	 0.35
R13C5__01.tif	 678250	 0.28488	 142273	 183.2742	 0.20976	 0.37255
R13C6__01.tif	 859228	 0.36089	 45941	 144.7236	 0.053468	 0.35
