ImageNo	 ImArea	 ImFrac	 StainArea	 StainInt	 StAreaFrac	  StainThreshold
R10C10__01.tif	 720812	 0.30275	 441064	 248.3325	 0.6119	 0.49412
R10C11__01.tif	 938346	 0.39412	 419844	 239.1674	 0.44743	 0.48627
R10C12__01.tif	 958057	 0.4024	 576493	 238.9959	 0.60173	 0.48627
R10C13__01.tif	 915337	 0.38446	 428497	 241.3205	 0.46813	 0.48627
R10C1__01.tif	 833298	 0.35	 325598	 229.8877	 0.39073	 0.46667
R10C2__01.tif	 821473	 0.34503	 369112	 230.2359	 0.44933	 0.46667
R10C3__01.tif	 478374	 0.20093	 277480	 243.2396	 0.58005	 0.48235
R10C4__01.tif	 1086122	 0.45619	 467757	 235.7265	 0.43067	 0.48235
R10C5__01.tif	 1014036	 0.42591	 445990	 245.4827	 0.43982	 0.49412
R10C6__01.tif	 816918	 0.34312	 255596	 242.2621	 0.31288	 0.48627
R10C7__01.tif	 1766109	 0.7418	 67	 200.2687	 3.7937e-05	 0.35
R10C8__01.tif	 863190	 0.36256	 404763	 246.8151	 0.46892	 0.49412
R10C9__01.tif	 572071	 0.24028	 355611	 246.6463	 0.62162	 0.48627
R11C10__01.tif	 592966	 0.24906	 30180	 167.3455	 0.050897	 0.35
R11C11__01.tif	 570481	 0.23961	 393384	 246.8386	 0.68957	 0.48627
R11C12__01.tif	 701388	 0.2946	 450340	 245.7968	 0.64207	 0.4902
R11C13__01.tif	 1089222	 0.45749	 163157	 247.8712	 0.14979	 0.49804
R11C1__01.tif	 1073793	 0.45101	 12654	 162.2647	 0.011784	 0.35
R11C2__01.tif	 1016732	 0.42705	 9530	 158.1205	 0.0093732	 0.35
R11C3__01.tif	 783650	 0.32915	 11431	 166.8014	 0.014587	 0.35
R11C4__01.tif	 1151576	 0.48368	 537	 197.6574	 0.00046632	 0.35
R11C5__01.tif	 1047546	 0.43999	 80321	 239.0285	 0.076675	 0.48235
R11C6__01.tif	 1070004	 0.44942	 347695	 233.7619	 0.32495	 0.48235
R11C7__01.tif	 1683448	 0.70708	 76	 217.6579	 4.5145e-05	 0.35
R11C8__01.tif	 839448	 0.35258	 222466	 229.9921	 0.26501	 0.46275
R11C9__01.tif	 855644	 0.35939	 196645	 201.778	 0.22982	 0.41176
R12C10__01.tif	 923010	 0.38768	 149086	 246.1736	 0.16152	 0.4902
R12C11__01.tif	 928512	 0.38999	 342676	 246.5335	 0.36906	 0.49412
R12C12__01.tif	 664740	 0.2792	 113577	 244.9672	 0.17086	 0.48627
R12C13__01.tif	 737930	 0.30994	 4594	 213.6112	 0.0062255	 0.42745
R12C1__01.tif	 639174	 0.26846	 293895	 240.6052	 0.4598	 0.47843
R12C2__01.tif	 716270	 0.30085	 420022	 238.876	 0.5864	 0.47843
R12C3__01.tif	 869968	 0.3654	 500559	 246.2567	 0.57538	 0.4902
R12C4__01.tif	 833781	 0.3502	 258248	 244.4153	 0.30973	 0.48627
R12C5__01.tif	 635616	 0.26697	 174925	 245.4964	 0.27521	 0.48627
R12C6__01.tif	 816081	 0.34277	 95850	 247.1547	 0.11745	 0.4902
R12C7__01.tif	 1673617	 0.70295	 73	 183.3014	 4.3618e-05	 0.35
R12C8__01.tif	 819253	 0.3441	 305302	 243.4238	 0.37266	 0.48627
R12C9__01.tif	 842996	 0.35407	 347823	 242.5847	 0.4126	 0.48627
R13C10__01.tif	 185294	 0.077827	 82393	 248.7678	 0.44466	 0.48627
R13C11__01.tif	 812647	 0.34133	 399630	 245.3688	 0.49176	 0.4902
R13C12__01.tif	 543729	 0.22838	 343658	 247.9093	 0.63204	 0.4902
R13C13__01.tif	 879089	 0.36923	 232162	 232.2922	 0.26409	 0.46667
R13C1__01.tif	 1762701	 0.74037	 16	 210.3125	 9.077e-06	 0.35
R13C2__01.tif	 1753947	 0.73669	 8	 175.125	 4.5611e-06	 0.35
R13C3__01.tif	 1589249	 0.66751	 2368	 184.6537	 0.00149	 0.35
R13C4__01.tif	 524132	 0.22014	 288685	 237.7788	 0.55079	 0.47059
R13C5__01.tif	 11924	 0.0050083	 3836	 232.6679	 0.3217	 0.4549
R13C6__01.tif	 750723	 0.31532	 265101	 242.9894	 0.35313	 0.48627
R13C7__01.tif	 1800503	 0.75624	 33	 182.4848	 1.8328e-05	 0.35
R13C8__01.tif	 905356	 0.38027	 582771	 245.9781	 0.64369	 0.49412
R13C9__01.tif	 997669	 0.41904	 688440	 242.9913	 0.69005	 0.4902
R15C10__01.tif	 900850	 0.37837	 20048	 214.9934	 0.022255	 0.43137
R15C11__01.tif	 341603	 0.14348	 124279	 245.4955	 0.36381	 0.48235
R15C12__01.tif	 1007698	 0.42325	 519685	 245.4721	 0.51572	 0.49412
R15C13__01.tif	 919650	 0.38627	 696295	 246.7813	 0.75713	 0.49412
R15C1__01.tif	 1290939	 0.54222	 16	 126.6875	 1.2394e-05	 0.35
R15C2__01.tif	 739142	 0.31045	 1400	 230.7029	 0.0018941	 0.4549
R15C3__01.tif	 673966	 0.28308	 490149	 244.2873	 0.72726	 0.48627
R15C4__01.tif	 1080623	 0.45388	 513733	 234.304	 0.4754	 0.48235
R15C5__01.tif	 1158810	 0.48672	 555342	 230.4724	 0.47923	 0.47451
R15C6__01.tif	 173718	 0.072965	 71497	 243.0357	 0.41157	 0.47843
R15C7__01.tif	 33245	 0.013964	 15477	 240.1408	 0.46554	 0.47059
R15C8__01.tif	 965769	 0.40564	 67507	 224.2743	 0.0699	 0.4549
R15C9__01.tif	 1064199	 0.44698	 45770	 222.343	 0.043009	 0.45098
R16C10__01.tif	 860619	 0.36148	 191056	 221.8592	 0.222	 0.44706
R16C11__01.tif	 131677	 0.055307	 54492	 228.6246	 0.41383	 0.44706
R16C12__01.tif	 974908	 0.40948	 394867	 235.165	 0.40503	 0.47843
R16C13__01.tif	 1108622	 0.46564	 281545	 227.2153	 0.25396	 0.46667
R16C1__01.tif	 556173	 0.2336	 3121	 219.9487	 0.0056116	 0.43529
R16C2__01.tif	 1004484	 0.4219	 802	 210.2344	 0.00079842	 0.35
R16C3__01.tif	 820139	 0.34447	 232785	 229.3667	 0.28384	 0.46275
R16C4__01.tif	 639261	 0.2685	 241502	 237.6246	 0.37778	 0.47451
