ImageNo	 ImArea	 ImFrac	 StainArea	 StainInt	 StAreaFrac	  StainThreshold
R10C10__01.tif	 658414	 0.27655	 39186	 154.3954	 0.059516	 0.35
R10C11__01.tif	 919838	 0.38635	 4758	 179.1963	 0.0051726	 0.35
R10C12__01.tif	 941531	 0.39546	 7741	 179.919	 0.0082217	 0.35
R10C13__01.tif	 956346	 0.40168	 6562	 155.6035	 0.0068615	 0.35
R10C1__01.tif	 787848	 0.33091	 10488	 178.7254	 0.013312	 0.35
R10C2__01.tif	 820282	 0.34453	 10732	 211.0141	 0.013083	 0.42745
R10C3__01.tif	 455006	 0.19111	 6502	 181.9815	 0.01429	 0.35
R10C4__01.tif	 797170	 0.33483	 2452	 182.1081	 0.0030759	 0.35
R10C5__01.tif	 969993	 0.40741	 9620	 171.674	 0.0099176	 0.35
R10C6__01.tif	 384756	 0.1616	 374	 159.0374	 0.00097204	 0.35
R10C7__01.tif	 1428145	 0.59985	 70	 144.2571	 4.9015e-05	 0.35
R10C8__01.tif	 844364	 0.35465	 87160	 154.3405	 0.10323	 0.35
R10C9__01.tif	 507275	 0.21306	 71832	 145.8095	 0.1416	 0.35
R11C10__01.tif	 699170	 0.29366	 13584	 160.6358	 0.019429	 0.35
R11C11__01.tif	 462965	 0.19445	 12833	 167.1395	 0.027719	 0.35
R11C12__01.tif	 643433	 0.27025	 20911	 171.5476	 0.032499	 0.35
R11C13__01.tif	 1069136	 0.44906	 14814	 158.3747	 0.013856	 0.35
R11C1__01.tif	 970697	 0.40771	 6190	 163.5535	 0.0063769	 0.35
R11C2__01.tif	 959398	 0.40296	 1336	 178.116	 0.0013925	 0.35
R11C3__01.tif	 768413	 0.32275	 1781	 157.7821	 0.0023178	 0.35
R11C4__01.tif	 1144474	 0.4807	 1353	 158.646	 0.0011822	 0.35
R11C5__01.tif	 1029482	 0.4324	 2132	 158.5244	 0.0020709	 0.35
R11C6__01.tif	 1063997	 0.4469	 4155	 166.9694	 0.0039051	 0.35
R11C7__01.tif	 1725566	 0.72477	 15	 175.3333	 8.6928e-06	 0.35
R11C8__01.tif	 773131	 0.32473	 25903	 194.4882	 0.033504	 0.39216
R11C9__01.tif	 635060	 0.26674	 7380	 161.9053	 0.011621	 0.35
R12C10__01.tif	 428412	 0.17994	 15	 103	 3.5013e-05	 0.35
R12C11__01.tif	 266881	 0.11209	 2170	 144.6005	 0.008131	 0.35
R12C12__01.tif	 186330	 0.078262	 5301	 151.3914	 0.02845	 0.35
R12C13__01.tif	 147589	 0.06199	 304	 143.9375	 0.0020598	 0.35
R12C1__01.tif	 728144	 0.30583	 14781	 183.2301	 0.0203	 0.35
R12C2__01.tif	 722583	 0.3035	 10864	 186.0194	 0.015035	 0.35
R12C3__01.tif	 855132	 0.35917	 19425	 205.3075	 0.022716	 0.41961
R12C4__01.tif	 765600	 0.32157	 4362	 164.9913	 0.0056975	 0.35
R12C5__01.tif	 441934	 0.18562	 3265	 166.9145	 0.007388	 0.35
R12C6__01.tif	 575876	 0.24188	 4777	 157.8796	 0.0082952	 0.35
R12C7__01.tif	 1869154	 0.78508	 5	 189.4	 2.675e-06	 0.35
R12C8__01.tif	 761163	 0.3197	 2	 100	 2.6276e-06	 0.35
R12C9__01.tif	 0	 0	 0	 NaN	 NaN	 0.35
R13C10__01.tif	 175448	 0.073691	 12411	 173.0899	 0.070739	 0.35
R13C11__01.tif	 920305	 0.38654	 16809	 169.5472	 0.018265	 0.35
R13C12__01.tif	 921412	 0.38701	 14203	 164.6606	 0.015414	 0.35
R13C13__01.tif	 782596	 0.3287	 2175	 157.3099	 0.0027792	 0.35
R13C1__01.tif	 1541268	 0.64736	 104	 117.6346	 6.7477e-05	 0.35
R13C2__01.tif	 1596894	 0.67072	 276	 239.1812	 0.00017284	 0.35
R13C3__01.tif	 42926	 0.01803	 5274	 206.3568	 0.12286	 0.40392
R13C4__01.tif	 84421	 0.035458	 343	 165.7755	 0.004063	 0.35
R13C5__01.tif	 84738	 0.035592	 570	 151.2035	 0.0067266	 0.35
R13C6__01.tif	 342901	 0.14402	 2306	 173.8049	 0.006725	 0.35
R13C7__01.tif	 1864954	 0.78331	 72	 212.7778	 3.8607e-05	 0.35
R13C8__01.tif	 947012	 0.39776	 18173	 208.2682	 0.01919	 0.42745
R13C9__01.tif	 1004582	 0.42194	 23881	 181.9217	 0.023772	 0.35
R15C10__01.tif	 913805	 0.38381	 15259	 158.5987	 0.016698	 0.35
R15C11__01.tif	 328186	 0.13784	 9769	 164.7137	 0.029767	 0.35
R15C12__01.tif	 427997	 0.17977	 5924	 171.6465	 0.013841	 0.35
R15C13__01.tif	 482580	 0.20269	 1930	 169.228	 0.0039993	 0.35
R15C1__01.tif	 1192970	 0.50107	 19636	 209.7522	 0.01646	 0.43137
R15C2__01.tif	 1134693	 0.47659	 10775	 190.3025	 0.009496	 0.35
R15C3__01.tif	 1114797	 0.46824	 10535	 173.8868	 0.0094502	 0.35
R15C4__01.tif	 1073259	 0.45079	 15388	 220.6537	 0.014338	 0.45098
R15C5__01.tif	 1176752	 0.49426	 21205	 209.7711	 0.01802	 0.42745
R15C6__01.tif	 1180268	 0.49573	 24995	 206.5666	 0.021177	 0.42353
R15C7__01.tif	 164688	 0.069172	 2357	 177.7696	 0.014312	 0.35
R15C8__01.tif	 884660	 0.37157	 9088	 165.0328	 0.010273	 0.35
R15C9__01.tif	 713786	 0.2998	 2689	 161.1484	 0.0037672	 0.35
R16C10__01.tif	 603775	 0.2536	 12058	 174.9172	 0.019971	 0.35
R16C11__01.tif	 55781	 0.023429	 688	 177.561	 0.012334	 0.35
R16C12__01.tif	 660118	 0.27726	 1724	 169.7587	 0.0026117	 0.35
R16C13__01.tif	 413591	 0.17372	 6566	 169.5568	 0.015876	 0.35
R16C1__01.tif	 1050568	 0.44126	 17320	 204.1438	 0.016486	 0.41569
R16C2__01.tif	 952487	 0.40006	 34730	 197.3274	 0.036462	 0.40392
R16C3__01.tif	 918869	 0.38594	 44475	 198.7405	 0.048402	 0.40784
R16C4__01.tif	 809291	 0.33992	 1700	 171.6312	 0.0021006	 0.35
R16C5__01.tif	 578979	 0.24318	 1531	 169.7616	 0.0026443	 0.35
R16C6__01.tif	 393949	 0.16547	 266	 160.8158	 0.00067521	 0.35
R16C7__01.tif	 129885	 0.054554	 165	 147.503	 0.0012704	 0.35
R16C8__01.tif	 1006573	 0.42278	 12326	 173.2426	 0.012246	 0.35
R16C9__01.tif	 716570	 0.30097	 5620	 170.6712	 0.0078429	 0.35
R17C10__01.tif	 1480601	 0.62188	 488	 158.668	 0.0003296	 0.35
R17C11__01.tif	 455120	 0.19116	 3161	 157.3654	 0.0069454	 0.35
R17C12__01.tif	 626458	 0.26312	 3751	 167.2498	 0.0059876	 0.35
R17C13__01.tif	 1001371	 0.42059	 4967	 164.5363	 0.0049602	 0.35
R17C1__01.tif	 150488	 0.063208	 367	 184.0245	 0.0024387	 0.35
R17C2__01.tif	 508266	 0.21348	 958	 133.4854	 0.0018848	 0.35
R17C3__01.tif	 378256	 0.15887	 367	 153.5477	 0.00097024	 0.35
R17C4__01.tif	 833911	 0.35026	 14003	 169.1801	 0.016792	 0.35
R17C5__01.tif	 826414	 0.34711	 13213	 168.4829	 0.015988	 0.35
R17C6__01.tif	 241249	 0.10133	 445	 144.0787	 0.0018446	 0.35
R17C7__01.tif	 1867226	 0.78427	 4	 126.75	 2.1422e-06	 0.35
R17C8__01.tif	 814664	 0.34217	 5922	 179.0876	 0.0072693	 0.35
R17C9__01.tif	 621430	 0.26101	 9000	 179.0654	 0.014483	 0.35686
R18C10__01.tif	 330426	 0.13878	 46838	 203.1866	 0.14175	 0.40392
R18C11__01.tif	 470495	 0.19762	 13545	 179.7875	 0.028789	 0.35
R18C12__01.tif	 513034	 0.21548	 1919	 150.6196	 0.0037405	 0.35
R18C13__01.tif	 1118299	 0.46971	 38391	 195.0195	 0.03433	 0.40392
R18C1__01.tif	 630599	 0.26486	 28131	 149.1992	 0.04461	 0.35
R18C2__01.tif	 944367	 0.39665	 16640	 164.9841	 0.01762	 0.35
R18C3__01.tif	 988572	 0.41522	 11509	 163.4197	 0.011642	 0.35
R18C4__01.tif	 1025221	 0.43061	 7162	 207.0793	 0.0069858	 0.41961
R18C5__01.tif	 1062537	 0.44628	 113221	 233.4446	 0.10656	 0.47059
R18C6__01.tif	 1080384	 0.45378	 26190	 211.9572	 0.024241	 0.43529
R18C7__01.tif	 32675	 0.013724	 520	 169.8365	 0.015914	 0.35
R18C8__01.tif	 1870269	 0.78555	 114	 158.307	 6.0954e-05	 0.35
