ImageNo	 ImArea	 ImFrac	 StainArea	 StainInt	 StAreaFrac	  StainThreshold
R10C10__01.tif	 928807	 0.39012	 504181	 238.8127	 0.54283	 0.48235
R10C11__01.tif	 968166	 0.40665	 493511	 228.9748	 0.50974	 0.47059
R10C12__01.tif	 966377	 0.4059	 536467	 230.7841	 0.55513	 0.47451
R10C13__01.tif	 898032	 0.37719	 390136	 237.4003	 0.43443	 0.47843
R10C1__01.tif	 921858	 0.3872	 494439	 238.6938	 0.53635	 0.48235
R10C2__01.tif	 592906	 0.24903	 345602	 234.0066	 0.5829	 0.46667
R10C3__01.tif	 333135	 0.13992	 213865	 243.0767	 0.64198	 0.47843
R10C4__01.tif	 989350	 0.41555	 337864	 242.5176	 0.3415	 0.48627
R10C5__01.tif	 968969	 0.40698	 442895	 239.994	 0.45708	 0.48235
R10C6__01.tif	 842356	 0.3538	 344745	 238.5582	 0.40926	 0.47843
R10C7__01.tif	 1223531	 0.51391	 123	 160.8943	 0.00010053	 0.35
R10C8__01.tif	 819289	 0.34412	 336269	 244.872	 0.41044	 0.4902
R10C9__01.tif	 683067	 0.2869	 345568	 244.9262	 0.50591	 0.48627
R11C10__01.tif	 714813	 0.30023	 288262	 233.6307	 0.40327	 0.46667
R11C11__01.tif	 658903	 0.27675	 402212	 238.0555	 0.61043	 0.47451
R11C12__01.tif	 344647	 0.14476	 194168	 242.3314	 0.56338	 0.47843
R11C13__01.tif	 1150907	 0.4834	 124505	 245.0429	 0.10818	 0.4902
R11C1__01.tif	 570245	 0.23951	 211156	 232.3903	 0.37029	 0.46667
R11C2__01.tif	 396569	 0.16657	 79674	 209.0059	 0.20091	 0.41569
R11C3__01.tif	 763311	 0.3206	 156740	 198.6088	 0.20534	 0.40392
R11C4__01.tif	 1120865	 0.47078	 92416	 191.2541	 0.082451	 0.39608
R11C5__01.tif	 1055594	 0.44337	 409121	 226.8466	 0.38757	 0.47451
R11C6__01.tif	 1061861	 0.446	 585826	 228.7042	 0.5517	 0.47451
R11C7__01.tif	 1238476	 0.52018	 299	 185.0936	 0.00024143	 0.35
R11C8__01.tif	 989287	 0.41552	 553794	 230.8105	 0.55979	 0.47451
R11C9__01.tif	 686048	 0.28815	 320824	 237.7832	 0.46764	 0.47451
R12C10__01.tif	 756251	 0.31764	 334462	 242.906	 0.44226	 0.48235
R12C11__01.tif	 939300	 0.39452	 397714	 240.0304	 0.42342	 0.48235
R12C12__01.tif	 809277	 0.33991	 269728	 242.1637	 0.3333	 0.48235
R12C13__01.tif	 852320	 0.35799	 125812	 245.6607	 0.14761	 0.4902
R12C1__01.tif	 704567	 0.29593	 508963	 244.8161	 0.72238	 0.48627
R12C2__01.tif	 739469	 0.31059	 543016	 243.344	 0.73433	 0.48627
R12C3__01.tif	 837878	 0.35192	 439984	 243.8363	 0.52512	 0.48627
R12C4__01.tif	 740156	 0.31088	 315164	 246.1886	 0.42581	 0.4902
R12C5__01.tif	 586300	 0.24626	 209595	 246.8185	 0.35749	 0.48627
R12C6__01.tif	 794120	 0.33354	 46724	 247.9685	 0.058837	 0.4902
R12C7__01.tif	 1223912	 0.51407	 215	 208.9953	 0.00017567	 0.35
R12C8__01.tif	 924343	 0.38824	 420444	 243.3233	 0.45486	 0.48627
R12C9__01.tif	 880709	 0.36991	 288005	 241.2652	 0.32701	 0.48235
R13C10__01.tif	 624137	 0.26215	 308218	 242.9906	 0.49383	 0.48627
R13C11__01.tif	 1008073	 0.42341	 502433	 241.1573	 0.49841	 0.48627
R13C12__01.tif	 1039803	 0.43674	 539232	 240.6381	 0.51859	 0.48627
R13C13__01.tif	 830451	 0.3488	 340888	 244.6689	 0.41049	 0.48627
R13C1__01.tif	 1830081	 0.76867	 28	 124.6071	 1.53e-05	 0.35
R13C2__01.tif	 1639869	 0.68877	 21	 127.0952	 1.2806e-05	 0.35
R13C3__01.tif	 1383121	 0.58094	 83686	 167.9106	 0.060505	 0.35294
R13C4__01.tif	 417186	 0.17523	 285237	 244.2297	 0.68372	 0.48235
R13C5__01.tif	 802577	 0.3371	 504066	 236.2883	 0.62806	 0.47451
R13C6__01.tif	 473367	 0.19882	 217335	 243.3155	 0.45913	 0.48235
R13C7__01.tif	 1022322	 0.42939	 150	 172.9733	 0.00014672	 0.35
R13C8__01.tif	 995026	 0.41793	 558856	 244.621	 0.56165	 0.4902
R13C9__01.tif	 1111235	 0.46674	 644830	 238.0549	 0.58028	 0.48627
R14C10__01.tif	 1042672	 0.43794	 2883	 244.6441	 0.002765	 0.48235
R14C11__01.tif	 1331608	 0.5593	 152	 174.4737	 0.00011415	 0.35
R14C12__01.tif	 817526	 0.34338	 929	 199.9462	 0.0011364	 0.35
R14C13__01.tif	 884195	 0.37138	 1089	 188.3425	 0.0012316	 0.35
R14C1__01.tif	 93826	 0.039409	 65577	 235.5467	 0.69892	 0.46275
R14C2__01.tif	 46896	 0.019697	 28555	 230.5047	 0.6089	 0.45098
R14C3__01.tif	 72714	 0.030541	 53551	 238.7799	 0.73646	 0.46667
R14C4__01.tif	 93297	 0.039186	 38106	 226.7727	 0.40844	 0.44314
R14C5__01.tif	 105423	 0.04428	 54570	 234.1248	 0.51763	 0.45882
R14C6__01.tif	 103630	 0.043526	 17441	 233.7662	 0.1683	 0.45882
R14C7__01.tif	 1338897	 0.56236	 66	 144.5152	 4.9294e-05	 0.35
R14C8__01.tif	 41762	 0.017541	 20636	 234.8039	 0.49413	 0.45882
R14C9__01.tif	 78878	 0.03313	 38375	 230.8933	 0.48651	 0.45098
R15C10__01.tif	 909259	 0.38191	 354793	 235.0818	 0.3902	 0.47059
R15C11__01.tif	 507839	 0.2133	 238541	 245.6639	 0.46972	 0.48627
R15C12__01.tif	 895275	 0.37603	 533246	 241.3408	 0.59562	 0.48627
R15C13__01.tif	 873233	 0.36677	 565530	 236.0832	 0.64763	 0.47843
R15C1__01.tif	 1158652	 0.48665	 568430	 234.391	 0.4906	 0.48235
R15C2__01.tif	 686378	 0.28829	 431329	 234.0244	 0.62841	 0.47059
R15C3__01.tif	 647522	 0.27197	 473938	 243.7033	 0.73193	 0.48235
R15C4__01.tif	 1153065	 0.48431	 580000	 230.616	 0.50301	 0.47843
R15C5__01.tif	 1152377	 0.48402	 649133	 229.9972	 0.5633	 0.47451
R15C6__01.tif	 1119740	 0.47031	 359059	 235.946	 0.32066	 0.47843
R15C7__01.tif	 85529	 0.035924	 12400	 233.8719	 0.14498	 0.45882
R15C8__01.tif	 1114892	 0.46827	 609282	 231.0744	 0.54649	 0.47451
R15C9__01.tif	 1136530	 0.47736	 558454	 229.2171	 0.49137	 0.47059
R16C10__01.tif	 651863	 0.27379	 289040	 246.2795	 0.44341	 0.48627
R16C11__01.tif	 21582	 0.0090648	 14244	 248.4212	 0.65999	 0.48627
R16C12__01.tif	 1033264	 0.43399	 545515	 234.2202	 0.52795	 0.47451
R16C13__01.tif	 1034382	 0.43446	 444120	 239.1216	 0.42936	 0.48235
R16C1__01.tif	 1061608	 0.44589	 559145	 229.622	 0.5267	 0.47451
R16C2__01.tif	 1061525	 0.44586	 447305	 236.4145	 0.42138	 0.47843
R16C3__01.tif	 929126	 0.39025	 413465	 238.477	 0.445	 0.47843
R16C4__01.tif	 861028	 0.36165	 344618	 238.539	 0.40024	 0.47843
R16C5__01.tif	 817552	 0.34339	 373523	 234.5385	 0.45688	 0.47451
R16C6__01.tif	 946754	 0.39765	 478805	 229.7561	 0.50573	 0.47059
R16C7__01.tif	 146760	 0.061642	 70513	 229.2024	 0.48046	 0.45098
