COL001,COL001,COL001,COL002,COL002,COL002,x,COL003,COL003,COL003,COL004,COL004,COL004
COL005,COL005,COL005,COL006,COL006,x,x,COL007,COL007,COL007,COL008,COL008,COL008
COL009,COL009,COL009,COL010,COL010,COL010,x,COL011,COL011,COL011,COL012,COL012,COL012
COL013,COL013,COL013,COL015,COL015,COL015,x,COL018,COL018,COL018,COL024,COL024,COL024
COL026,COL026,COL026,COL033,COL033,COL033,x,COL034,COL034,COL034,COL035,COL035,COL035
COL036,COL036,COL036,COL038,COL038,COL038,x,COL039,COL039,COL039,COL040,COL040,COL040
x,x,x,x,x,x,x,x,x,x,x,x,x
COL041,COL041,COL041,COL044,COL044,COL044,x,COL050,COL050,COL050,COL051,COL051,COL051
COL052,COL052,COL052,COL053,COL053,COL053,x,COL054,COL054,COL054,COL055,COL055,COL055
COL056,COL056,COL056,COL057,COL057,COL057,x,COL059,COL059,COL059,COL060,COL060,COL060
COL064,COL064,COL064,COL067,COL067,COL067,x,COL068,COL068,COL068,COL069,COL069,COL069
COL070,COL070,COL070,COL072,COL072,COL072,x,COL073,COL073,COL073,COL074,COL074,COL074
x,x,COL075,COL076,COL076,COL076,x,COL077,COL077,COL077,COL078,COL078,COL078
x,x,x,x,x,x,x,x,x,x,x,x,x
COL079,COL079,COL079,COL080,COL080,COL080,x,COL081,COL081,COL081,COL082,COL082,COL082
COL083,COL083,COL083,COL084,COL084,COL084,x,COL085,COL085,COL085,x,COL086,COL086
COL089,COL089,COL089,COL090,COL090,COL090,x,COL091,COL091,x,COL092,COL092,COL092
x,COL093,COL093,COL094,COL094,COL094,x,x,COL095,COL095,COL096,COL096,COL096
COL097,COL097,COL097,COL098,COL098,COL098,x,COL099,COL099,COL099,COL100,COL100,COL100
COL101,COL101,COL101,COL102,COL102,COL102,x,x,x,x,x,x,x
