ImageNo	 ImArea	 ImFrac	 StainArea	 StainInt	 StAreaFrac	  StainThreshold
Cairo1_1_1_1_CDX2.tif	 14165181	 0.46827	 1099	 143.1319	 7.7585e-05	 0.35
Cairo1_1_1_3_CDX2.tif	 18227335	 0.60256	 2489510	 140.8257	 0.13658	 0.35
Cairo1_1_1_4_CDX2.tif	 15976036	 0.52813	 205	 154.1902	 1.2832e-05	 0.35
Cairo1_1_1_5_CDX2.tif	 12878102	 0.42572	 459418	 117.1845	 0.035674	 0.35
Cairo1_1_1_6_CDX2.tif	 16235768	 0.53672	 341320	 116.6408	 0.021023	 0.35
Cairo1_1_1_7_CDX2.tif	 15192930	 0.50225	 55727	 133.3985	 0.003668	 0.35
Cairo1_1_2_1_CDX2.tif	 14286806	 0.47229	 1191	 128.0814	 8.3364e-05	 0.35
Cairo1_1_2_2_CDX2.tif	 16227891	 0.53646	 446250	 135.3097	 0.027499	 0.35
Cairo1_1_2_3_CDX2.tif	 15144677	 0.50065	 289036	 122.838	 0.019085	 0.35
Cairo1_1_2_4_CDX2.tif	 16781288	 0.55475	 48333	 114.8415	 0.0028802	 0.35
Cairo1_1_2_5_CDX2.tif	 15749603	 0.52065	 90687	 197.7277	 0.005758	 0.39608
Cairo1_1_2_6_CDX2.tif	 10418757	 0.34442	 419549	 126.9263	 0.040269	 0.35
Cairo1_1_2_7_CDX2.tif	 14130979	 0.46714	 232167	 125.6207	 0.01643	 0.35
Cairo1_1_3_1_CDX2.tif	 0	 0	 0	 NaN	 NaN	 0.35
Cairo1_1_3_2_CDX2.tif	 18152936	 0.6001	 801	 161.1199	 4.4125e-05	 0.35
Cairo1_1_3_4_CDX2.tif	 14983232	 0.49531	 1328675	 125.0553	 0.088677	 0.35
Cairo1_1_3_5_CDX2.tif	 11687304	 0.38636	 265434	 137.034	 0.022711	 0.35
Cairo1_1_3_6_CDX2.tif	 14254081	 0.47121	 57931	 109.2612	 0.0040642	 0.35
Cairo1_1_3_7_CDX2.tif	 16521184	 0.54615	 698630	 137.475	 0.042287	 0.35
Cairo1_1_4_2_CDX2.tif	 15228088	 0.50341	 244132	 116.7669	 0.016032	 0.35
Cairo1_1_4_3_CDX2.tif	 12264889	 0.40545	 89129	 111.6181	 0.007267	 0.35
Cairo1_1_4_4_CDX2.tif	 19445132	 0.64281	 375999	 121.8684	 0.019336	 0.35
Cairo1_1_4_5_CDX2.tif	 17455328	 0.57704	 17085	 107.1613	 0.00097878	 0.35
Cairo1_1_4_6_CDX2.tif	 18026817	 0.59593	 83948	 122.5799	 0.0046568	 0.35
Cairo1_1_4_7_CDX2.tif	 17636732	 0.58303	 8312	 133.0138	 0.00047129	 0.35
Cairo1_1_5_2_CDX2.tif	 12754116	 0.42162	 109207	 119.5124	 0.0085625	 0.35
Cairo1_1_5_3_CDX2.tif	 13135398	 0.43423	 2108924	 151.7725	 0.16055	 0.35
Cairo1_1_5_4_CDX2.tif	 15462339	 0.51115	 3044	 119.0936	 0.00019687	 0.35
Cairo1_1_5_5_CDX2.tif	 15272893	 0.50489	 811	 167.8607	 5.3101e-05	 0.35
Cairo1_1_5_6_CDX2.tif	 17464389	 0.57734	 727	 189.4594	 4.1628e-05	 0.35
Cairo1_1_5_7_CDX2.tif	 13450736	 0.44465	 113182	 106.9661	 0.0084146	 0.35
