ImageNo	 ImArea	 ImFrac	 StainArea	 StainInt	 StAreaFrac	  StainThreshold
Cairo1_1_1_1_FRMD6.tif	 15391572	 0.50881	 6452206	 140.1156	 0.4192	 0.35
Cairo1_1_1_2_FRMD6.tif	 16037822	 0.53018	 453289	 126.5722	 0.028264	 0.35
Cairo1_1_1_3_FRMD6.tif	 15933033	 0.52671	 11747	 114.2584	 0.00073727	 0.35
Cairo1_1_1_4_FRMD6.tif	 17108557	 0.56557	 979604	 143.9386	 0.057258	 0.35
Cairo1_1_1_5_FRMD6.tif	 13679863	 0.45223	 120640	 108.5722	 0.0088188	 0.35
Cairo1_1_1_6_FRMD6.tif	 17465957	 0.57739	 7747	 108.9044	 0.00044355	 0.35
Cairo1_1_1_7_FRMD6.tif	 15596291	 0.51558	 179741	 113.2561	 0.011525	 0.35
Cairo1_1_2_1_FRMD6.tif	 14520604	 0.48002	 6409787	 150.1838	 0.44143	 0.35
Cairo1_1_2_2_FRMD6.tif	 4803510	 0.15879	 289199	 104.1155	 0.060206	 0.35
Cairo1_1_2_3_FRMD6.tif	 15711477	 0.51939	 566995	 139.843	 0.036088	 0.35
Cairo1_1_2_4_FRMD6.tif	 12832375	 0.42421	 230348	 127.6802	 0.017951	 0.35
Cairo1_1_2_5_FRMD6.tif	 15100273	 0.49918	 297344	 116.8098	 0.019691	 0.35
Cairo1_1_2_6_FRMD6.tif	 14894794	 0.49239	 116445	 114.1306	 0.0078178	 0.35
Cairo1_1_2_7_FRMD6.tif	 897528	 0.02967	 64239	 133.5561	 0.071573	 0.35
Cairo1_1_3_1_FRMD6.tif	 0	 0	 0	 NaN	 NaN	 0.35
Cairo1_1_3_2_FRMD6.tif	 15957010	 0.5275	 946456	 131.7906	 0.059313	 0.35
Cairo1_1_3_3_FRMD6.tif	 12074567	 0.39916	 2843304	 141.6764	 0.23548	 0.35
Cairo1_1_3_4_FRMD6.tif	 17290093	 0.57157	 2040381	 151.6918	 0.11801	 0.35
Cairo1_1_3_5_FRMD6.tif	 13364201	 0.44179	 21413	 110.4618	 0.0016023	 0.35
Cairo1_1_3_6_FRMD6.tif	 2429878	 0.080327	 7216	 120.5758	 0.0029697	 0.35
Cairo1_1_3_7_FRMD6.tif	 15869359	 0.52461	 624470	 128.0582	 0.039351	 0.35
Cairo1_1_4_1_FRMD6.tif	 0	 0	 0	 NaN	 NaN	 0.35
Cairo1_1_4_2_FRMD6.tif	 14925762	 0.49341	 451652	 123.5771	 0.03026	 0.35
Cairo1_1_4_3_FRMD6.tif	 15126817	 0.50006	 1347420	 149.8937	 0.089075	 0.35
Cairo1_1_4_4_FRMD6.tif	 12883617	 0.4259	 1998319	 138.9376	 0.15511	 0.35
Cairo1_1_4_5_FRMD6.tif	 13236824	 0.43758	 275324	 117.8458	 0.0208	 0.35
Cairo1_1_4_6_FRMD6.tif	 15007076	 0.4961	 1026895	 122.8922	 0.068427	 0.35
Cairo1_1_4_7_FRMD6.tif	 12955661	 0.44178	 4985	 122.0652	 0.00038477	 0.35
Cairo1_1_5_1_FRMD6.tif	 20582364	 0.68041	 8892	 178.1761	 0.00043202	 0.35
Cairo1_1_5_2_FRMD6.tif	 5991849	 0.19808	 168240	 114.1181	 0.028078	 0.35
Cairo1_1_5_3_FRMD6.tif	 15400541	 0.50911	 88352	 116.8905	 0.0057369	 0.35
Cairo1_1_5_4_FRMD6.tif	 10933926	 0.36145	 1629121	 133.6877	 0.149	 0.35
Cairo1_1_5_5_FRMD6.tif	 11739624	 0.38809	 4697	 117.4946	 0.0004001	 0.35
Cairo1_1_5_6_FRMD6.tif	 14041190	 0.46417	 21342	 112.2917	 0.00152	 0.35
Cairo1_1_5_7_FRMD6.tif	 12541742	 0.41825	 4135	 117.9415	 0.0003297	 0.35
