ImageNo	 ImArea	 ImFrac	 StainArea	 StainInt	 StAreaFrac	  StainThreshold
Cairo1_1_1_1_HTR2B.tif	 5928391	 0.19598	 23985	 161.8348	 0.0040458	 0.35
Cairo1_1_1_2_HTR2B.tif	 11312131	 0.37395	 3089249	 179.6131	 0.27309	 0.36471
Cairo1_1_1_3_HTR2B.tif	 15481027	 0.51177	 7846462	 167.516	 0.50684	 0.35
Cairo1_1_1_4_HTR2B.tif	 17601810	 0.58188	 3649439	 153.2647	 0.20733	 0.35
Cairo1_1_1_5_HTR2B.tif	 19345138	 0.63951	 1036189	 149.6819	 0.053563	 0.35
Cairo1_1_1_6_HTR2B.tif	 15863012	 0.5244	 455822	 138.8714	 0.028735	 0.35
Cairo1_1_1_7_HTR2B.tif	 12975084	 0.42893	 3283238	 213.0839	 0.25304	 0.43137
Cairo1_1_2_1_HTR2B.tif	 4022834	 0.13299	 388408	 201.6666	 0.096551	 0.4
Cairo1_1_2_2_HTR2B.tif	 16120472	 0.53291	 9746395	 174.9103	 0.6046	 0.36863
Cairo1_1_2_3_HTR2B.tif	 8290627	 0.27407	 2337756	 186.766	 0.28198	 0.38039
Cairo1_1_2_4_HTR2B.tif	 15204407	 0.50263	 856062	 231.2096	 0.056304	 0.46275
Cairo1_1_2_5_HTR2B.tif	 10551825	 0.34882	 2386318	 187.2802	 0.22615	 0.37647
Cairo1_1_2_6_HTR2B.tif	 0	 0	 0	 NaN	 NaN	 0.35
Cairo1_1_2_7_HTR2B.tif	 18152451	 0.60008	 2935244	 212.7038	 0.1617	 0.43137
Cairo1_1_3_1_HTR2B.tif	 21689324	 0.717	 1889	 167.6215	 8.7094e-05	 0.35
Cairo1_1_3_2_HTR2B.tif	 14679422	 0.48527	 5887888	 196.9161	 0.4011	 0.4
Cairo1_1_3_3_HTR2B.tif	 10835273	 0.35819	 5684453	 206.5639	 0.52462	 0.41569
Cairo1_1_3_4_HTR2B.tif	 13237538	 0.4376	 3085107	 171.3918	 0.23306	 0.35
Cairo1_1_3_5_HTR2B.tif	 11733048	 0.38787	 4978057	 229.0344	 0.42428	 0.45882
Cairo1_1_3_6_HTR2B.tif	 21209914	 0.70115	 3716	 159.6916	 0.0001752	 0.35
Cairo1_1_3_7_HTR2B.tif	 18080268	 0.59769	 8098300	 196.4321	 0.44791	 0.40784
Cairo1_1_4_1_HTR2B.tif	 21374613	 0.7066	 3470	 150.5354	 0.00016234	 0.35
Cairo1_1_4_2_HTR2B.tif	 11865622	 0.39225	 5662674	 191.1595	 0.47723	 0.38824
Cairo1_1_4_3_HTR2B.tif	 18609439	 0.61519	 2302263	 217.0082	 0.12371	 0.43922
Cairo1_1_4_4_HTR2B.tif	 17519037	 0.57914	 291125	 151.1708	 0.016618	 0.35
Cairo1_1_4_5_HTR2B.tif	 16956532	 0.56055	 3370839	 179.3742	 0.19879	 0.37255
Cairo1_1_4_6_HTR2B.tif	 16594410	 0.54858	 7628748	 183.5959	 0.45972	 0.38431
Cairo1_1_4_7_HTR2B.tif	 14725758	 0.4868	 6290279	 177.3559	 0.42716	 0.36471
Cairo1_1_5_1_HTR2B.tif	 1172597	 0.038764	 370709	 184.2177	 0.31614	 0.36078
Cairo1_1_5_2_HTR2B.tif	 16042886	 0.53034	 4289800	 193.3821	 0.2674	 0.39608
Cairo1_1_5_3_HTR2B.tif	 14742286	 0.48735	 5397702	 224.7832	 0.36614	 0.4549
Cairo1_1_5_4_HTR2B.tif	 19454544	 0.64313	 5490313	 191.0658	 0.28221	 0.40392
Cairo1_1_5_5_HTR2B.tif	 17393007	 0.57498	 1701125	 158.0476	 0.097805	 0.35
Cairo1_1_5_6_HTR2B.tif	 18730724	 0.6192	 3031009	 197.6086	 0.16182	 0.40392
Cairo1_1_5_7_HTR2B.tif	 14190764	 0.46912	 3934015	 221.8207	 0.27722	 0.45098
