ImageNo	 ImArea	 ImFrac	 StainArea	 StainInt	 StAreaFrac	  StainThreshold
Cairo1_1_1_1_Panker.tif	 928830	 0.030705	 23854	 198.9168	 0.025682	 0.38824
Cairo1_1_1_2_Panker.tif	 17278298	 0.57118	 1055822	 220.1953	 0.061107	 0.44314
Cairo1_1_1_3_Panker.tif	 18795576	 0.62134	 9117955	 170.4373	 0.48511	 0.36078
Cairo1_1_1_4_Panker.tif	 16992363	 0.56173	 6227178	 195.7722	 0.36647	 0.40392
Cairo1_1_1_5_Panker.tif	 17790478	 0.58811	 3526386	 156.7085	 0.19822	 0.35
Cairo1_1_1_6_Panker.tif	 13383429	 0.44243	 7469764	 205.4386	 0.55814	 0.41569
Cairo1_1_1_7_Panker.tif	 18398172	 0.6082	 4607648	 194.0858	 0.25044	 0.40784
Cairo1_1_2_1_Panker.tif	 11598570	 0.38342	 1392386	 211.0851	 0.12005	 0.42745
Cairo1_1_2_2_Panker.tif	 782272	 0.02586	 70539	 163.0288	 0.090172	 0.35
Cairo1_1_2_3_Panker.tif	 17996116	 0.59491	 6991198	 204.6823	 0.38848	 0.42745
Cairo1_1_2_4_Panker.tif	 17583426	 0.58127	 7145036	 208.7422	 0.40635	 0.42745
Cairo1_1_2_5_Panker.tif	 11936112	 0.39458	 7281216	 207.8767	 0.61002	 0.41569
Cairo1_1_2_6_Panker.tif	 17588455	 0.58144	 3942579	 201.9181	 0.22416	 0.41569
Cairo1_1_2_7_Panker.tif	 16259255	 0.5375	 1956931	 224.8484	 0.12036	 0.4549
Cairo1_1_3_1_Panker.tif	 259692	 0.0085849	 129763	 212.7341	 0.49968	 0.41569
Cairo1_1_3_2_Panker.tif	 14786167	 0.4888	 6591540	 190.1699	 0.44579	 0.38824
Cairo1_1_3_3_Panker.tif	 6976198	 0.23062	 1231389	 224.9625	 0.17651	 0.44706
Cairo1_1_3_4_Panker.tif	 19582094	 0.64734	 699279	 194.9574	 0.03571	 0.39608
Cairo1_1_3_5_Panker.tif	 16700026	 0.55207	 8791123	 196.1979	 0.52641	 0.40784
Cairo1_1_3_6_Panker.tif	 18112683	 0.59877	 6826283	 197.5191	 0.37688	 0.41176
Cairo1_1_3_7_Panker.tif	 16218045	 0.54145	 3670203	 218.8437	 0.2263	 0.44706
Cairo1_1_4_1_Panker.tif	 116161	 0.00384	 39533	 194.3322	 0.34033	 0.38039
Cairo1_1_4_2_Panker.tif	 18451902	 0.60998	 4643293	 207.2167	 0.25164	 0.42745
Cairo1_1_4_3_Panker.tif	 21476703	 0.70997	 1257382	 177.4073	 0.058546	 0.36471
Cairo1_1_4_4_Panker.tif	 17622737	 0.58257	 6206035	 211.9495	 0.35216	 0.43922
Cairo1_1_4_5_Panker.tif	 16903491	 0.55879	 396760	 220.658	 0.023472	 0.44314
Cairo1_1_4_6_Panker.tif	 18694405	 0.618	 4060812	 214.1919	 0.21722	 0.43529
Cairo1_1_4_7_Panker.tif	 12312818	 0.40704	 5304032	 186.1338	 0.43077	 0.38039
Cairo1_1_5_1_Panker.tif	 4172568	 0.14632	 1496958	 233.341	 0.35876	 0.45882
Cairo1_1_5_2_Panker.tif	 200393	 0.0067161	 97119	 191.5423	 0.48464	 0.37255
Cairo1_1_5_3_Panker.tif	 18939036	 0.63474	 6917073	 203.9264	 0.36523	 0.41961
Cairo1_1_5_4_Panker.tif	 2216627	 0.073277	 816989	 230.0462	 0.36857	 0.45098
Cairo1_1_5_5_Panker.tif	 941389	 0.03112	 510709	 206.1154	 0.54251	 0.40392
Cairo1_1_5_6_Panker.tif	 15135830	 0.50036	 6876940	 197.3875	 0.45435	 0.40392
Cairo1_1_5_7_Panker.tif	 2164123	 0.077365	 638014	 202.5044	 0.29481	 0.4
