ImageNo	 ImArea	 ImFrac	 StainArea	 StainInt	 StAreaFrac	  StainThreshold
Cairo1_1_1_1_Zeb1.tif	 4030375	 0.11195	 97605	 120.5364	 0.024217	 0.35
Cairo1_1_1_2_Zeb1.tif	 14069395	 0.39082	 889369	 143.4679	 0.063213	 0.35
Cairo1_1_1_3_Zeb1.tif	 16335301	 0.45376	 449984	 139.9947	 0.027547	 0.35
Cairo1_1_1_4_Zeb1.tif	 15296990	 0.42492	 1430660	 143.2271	 0.093526	 0.35
Cairo1_1_1_5_Zeb1.tif	 13867974	 0.38522	 118348	 130.7872	 0.0085339	 0.35
Cairo1_1_1_6_Zeb1.tif	 5458750	 0.15163	 71754	 122.538	 0.013145	 0.35
Cairo1_1_1_7_Zeb1.tif	 15390375	 0.42751	 303253	 126.8233	 0.019704	 0.35
Cairo1_1_2_1_Zeb1.tif	 12987311	 0.36076	 132955	 121.349	 0.010237	 0.35
Cairo1_1_2_2_Zeb1.tif	 5129839	 0.1425	 468990	 106.4891	 0.091424	 0.35
Cairo1_1_2_3_Zeb1.tif	 15884930	 0.44125	 889831	 138.9082	 0.056017	 0.35
Cairo1_1_2_4_Zeb1.tif	 11208150	 0.31134	 677610	 135.0473	 0.060457	 0.35
Cairo1_1_2_5_Zeb1.tif	 15261394	 0.42393	 521038	 145.3822	 0.034141	 0.35
Cairo1_1_2_6_Zeb1.tif	 15391493	 0.42754	 849406	 155.287	 0.055187	 0.35
Cairo1_1_2_7_Zeb1.tif	 3021134	 0.08392	 385642	 130.4675	 0.12765	 0.35
Cairo1_1_3_1_Zeb1.tif	 19840713	 0.55113	 5736	 166.2287	 0.0002891	 0.35
Cairo1_1_3_2_Zeb1.tif	 16339013	 0.45386	 1040244	 155.7437	 0.063666	 0.35
Cairo1_1_3_3_Zeb1.tif	 11170377	 0.31029	 860988	 152.4634	 0.077078	 0.35
Cairo1_1_3_4_Zeb1.tif	 17626939	 0.48964	 912691	 148.2382	 0.051778	 0.35
Cairo1_1_3_5_Zeb1.tif	 13546511	 0.37629	 324652	 137.9891	 0.023966	 0.35
Cairo1_1_3_6_Zeb1.tif	 2601907	 0.072275	 10995	 112.0193	 0.0042257	 0.35
Cairo1_1_3_7_Zeb1.tif	 15089079	 0.41914	 389571	 127.5865	 0.025818	 0.35
Cairo1_1_4_1_Zeb1.tif	 22833712	 0.63427	 7314	 180.4785	 0.00032032	 0.35
Cairo1_1_4_2_Zeb1.tif	 10819187	 0.30053	 445855	 127.9165	 0.04121	 0.35
Cairo1_1_4_3_Zeb1.tif	 15554734	 0.43208	 1467995	 134.088	 0.094376	 0.35
Cairo1_1_4_4_Zeb1.tif	 13407043	 0.37242	 227229	 128.9888	 0.016948	 0.35
Cairo1_1_4_5_Zeb1.tif	 13737530	 0.3816	 774493	 123.5784	 0.056378	 0.35
Cairo1_1_4_6_Zeb1.tif	 15672956	 0.43536	 798697	 133.3664	 0.05096	 0.35
Cairo1_1_4_7_Zeb1.tif	 13185631	 0.36627	 39787	 122.223	 0.0030175	 0.35
Cairo1_1_5_1_Zeb1.tif	 26319905	 0.73111	 10125	 184.0019	 0.00038469	 0.36863
Cairo1_1_5_2_Zeb1.tif	 6267550	 0.1741	 41746	 128.8551	 0.0066607	 0.35
Cairo1_1_5_3_Zeb1.tif	 15601273	 0.43337	 441863	 148.4223	 0.028322	 0.35
Cairo1_1_5_4_Zeb1.tif	 11214293	 0.31151	 884546	 127.0675	 0.078877	 0.35
Cairo1_1_5_5_Zeb1.tif	 13038284	 0.36217	 53139	 122.2094	 0.0040756	 0.35
Cairo1_1_5_6_Zeb1.tif	 6517497	 0.18104	 189779	 126.3977	 0.029118	 0.35
Cairo1_1_5_7_Zeb1.tif	 488939	 0.013582	 15359	 116.8196	 0.031413	 0.35
